country_region,sub_region_1,date,type,values
Argentina,CABA,2020-03-12,retail_and_recreation,4
Argentina,CABA,2020-03-12,grocery_and_pharmacy,33
Argentina,CABA,2020-03-12,parks,-1
Argentina,CABA,2020-03-12,transit_stations,11
Argentina,CABA,2020-03-12,workplaces,12
Argentina,CABA,2020-03-12,residential,-1
Argentina,CABA,2020-03-13,retail_and_recreation,1
Argentina,CABA,2020-03-13,grocery_and_pharmacy,31
Argentina,CABA,2020-03-13,parks,0
Argentina,CABA,2020-03-13,transit_stations,8
Argentina,CABA,2020-03-13,workplaces,12
Argentina,CABA,2020-03-13,residential,0
Argentina,CABA,2020-03-14,retail_and_recreation,-22
Argentina,CABA,2020-03-14,grocery_and_pharmacy,21
Argentina,CABA,2020-03-14,parks,-50
Argentina,CABA,2020-03-14,transit_stations,-17
Argentina,CABA,2020-03-14,workplaces,-11
Argentina,CABA,2020-03-14,residential,11
Argentina,CABA,2020-03-15,retail_and_recreation,-19
Argentina,CABA,2020-03-15,grocery_and_pharmacy,69
Argentina,CABA,2020-03-15,parks,-30
Argentina,CABA,2020-03-15,transit_stations,-14
Argentina,CABA,2020-03-15,workplaces,-18
Argentina,CABA,2020-03-15,residential,11
Argentina,CABA,2020-03-16,retail_and_recreation,-25
Argentina,CABA,2020-03-16,grocery_and_pharmacy,24
Argentina,CABA,2020-03-16,parks,-29
Argentina,CABA,2020-03-16,transit_stations,-22
Argentina,CABA,2020-03-16,workplaces,-8
Argentina,CABA,2020-03-16,residential,9
Argentina,CABA,2020-03-17,retail_and_recreation,-43
Argentina,CABA,2020-03-17,grocery_and_pharmacy,1
Argentina,CABA,2020-03-17,parks,-48
Argentina,CABA,2020-03-17,transit_stations,-37
Argentina,CABA,2020-03-17,workplaces,-25
Argentina,CABA,2020-03-17,residential,16
Argentina,CABA,2020-03-18,retail_and_recreation,-46
Argentina,CABA,2020-03-18,grocery_and_pharmacy,4
Argentina,CABA,2020-03-18,parks,-42
Argentina,CABA,2020-03-18,transit_stations,-43
Argentina,CABA,2020-03-18,workplaces,-34
Argentina,CABA,2020-03-18,residential,17
Argentina,CABA,2020-03-19,retail_and_recreation,-47
Argentina,CABA,2020-03-19,grocery_and_pharmacy,26
Argentina,CABA,2020-03-19,parks,-48
Argentina,CABA,2020-03-19,transit_stations,-45
Argentina,CABA,2020-03-19,workplaces,-40
Argentina,CABA,2020-03-19,residential,17
Argentina,CABA,2020-03-20,retail_and_recreation,-89
Argentina,CABA,2020-03-20,grocery_and_pharmacy,-42
Argentina,CABA,2020-03-20,parks,-85
Argentina,CABA,2020-03-20,transit_stations,-82
Argentina,CABA,2020-03-20,workplaces,-77
Argentina,CABA,2020-03-20,residential,39
Argentina,CABA,2020-03-21,retail_and_recreation,-90
Argentina,CABA,2020-03-21,grocery_and_pharmacy,-43
Argentina,CABA,2020-03-21,parks,-88
Argentina,CABA,2020-03-21,transit_stations,-81
Argentina,CABA,2020-03-21,workplaces,-70
Argentina,CABA,2020-03-21,residential,33
Argentina,CABA,2020-03-22,retail_and_recreation,-91
Argentina,CABA,2020-03-22,grocery_and_pharmacy,-52
Argentina,CABA,2020-03-22,parks,-92
Argentina,CABA,2020-03-22,transit_stations,-83
Argentina,CABA,2020-03-22,workplaces,-69
Argentina,CABA,2020-03-22,residential,31
Argentina,CABA,2020-03-23,retail_and_recreation,-93
Argentina,CABA,2020-03-23,grocery_and_pharmacy,-58
Argentina,CABA,2020-03-23,parks,-92
Argentina,CABA,2020-03-23,transit_stations,-90
Argentina,CABA,2020-03-23,workplaces,-90
Argentina,CABA,2020-03-23,residential,39
Argentina,CABA,2020-03-24,retail_and_recreation,-94
Argentina,CABA,2020-03-24,grocery_and_pharmacy,-59
Argentina,CABA,2020-03-24,parks,-91
Argentina,CABA,2020-03-24,transit_stations,-90
Argentina,CABA,2020-03-24,workplaces,-90
Argentina,CABA,2020-03-24,residential,39
Argentina,CABA,2020-03-25,retail_and_recreation,-89
Argentina,CABA,2020-03-25,grocery_and_pharmacy,-45
Argentina,CABA,2020-03-25,parks,-83
Argentina,CABA,2020-03-25,transit_stations,-82
Argentina,CABA,2020-03-25,workplaces,-81
Argentina,CABA,2020-03-25,residential,36
Argentina,CABA,2020-03-26,retail_and_recreation,-90
